chr1 start1 chr2 start2 IF
chr20 1000000 chr20 1000000 234
chr20 2000000 chr20 2000000 246
chr20 3000000 chr20 3000000 215
chr20 4000000 chr20 4000000 206
chr20 5000000 chr20 5000000 207
chr20 6000000 chr20 6000000 229
chr20 7000000 chr20 7000000 236
chr20 8000000 chr20 8000000 218
chr20 9000000 chr20 9000000 236
chr20 10000000 chr20 10000000 219
chr20 11000000 chr20 11000000 198
chr20 12000000 chr20 12000000 212
chr20 13000000 chr20 13000000 227
chr20 14000000 chr20 14000000 215
chr20 15000000 chr20 15000000 233
chr20 16000000 chr20 16000000 224
chr20 17000000 chr20 17000000 256
chr20 18000000 chr20 18000000 212
chr20 19000000 chr20 19000000 253
chr20 20000000 chr20 20000000 230
chr20 21000000 chr20 21000000 241
chr20 22000000 chr20 22000000 228
chr20 23000000 chr20 23000000 240
chr20 24000000 chr20 24000000 243
chr20 25000000 chr20 25000000 179
chr20 26000000 chr20 26000000 47
chr20 27000000 chr20 27000000 227
chr20 28000000 chr20 28000000 216
chr20 29000000 chr20 29000000 82
chr20 30000000 chr20 30000000 253
chr20 31000000 chr20 31000000 216
chr20 32000000 chr20 32000000 217
chr20 33000000 chr20 33000000 228
chr20 34000000 chr20 34000000 202
chr20 35000000 chr20 35000000 229
chr20 36000000 chr20 36000000 243
chr20 37000000 chr20 37000000 239
chr20 38000000 chr20 38000000 231
chr20 39000000 chr20 39000000 264
chr20 40000000 chr20 40000000 248
chr20 41000000 chr20 41000000 251
chr20 42000000 chr20 42000000 210
chr20 43000000 chr20 43000000 238
chr20 44000000 chr20 44000000 240
chr20 45000000 chr20 45000000 243
chr20 46000000 chr20 46000000 216
chr20 47000000 chr20 47000000 265
chr20 48000000 chr20 48000000 219
chr20 49000000 chr20 49000000 262
chr20 50000000 chr20 50000000 256
chr20 51000000 chr20 51000000 256
chr20 52000000 chr20 52000000 214
chr20 53000000 chr20 53000000 216
chr20 54000000 chr20 54000000 211
chr20 55000000 chr20 55000000 227
chr20 56000000 chr20 56000000 261
chr20 57000000 chr20 57000000 256
chr20 58000000 chr20 58000000 239
chr20 59000000 chr20 59000000 258
chr20 60000000 chr20 60000000 223
chr20 61000000 chr20 61000000 223
chr20 62000000 chr20 62000000 239
chr20 0 chr20 1000000 4
chr20 1000000 chr20 2000000 2
chr20 2000000 chr20 3000000 3
chr20 3000000 chr20 4000000 3
chr20 4000000 chr20 5000000 4
chr20 5000000 chr20 6000000 2
chr20 6000000 chr20 7000000 3
chr20 7000000 chr20 8000000 3
chr20 8000000 chr20 9000000 3
chr20 9000000 chr20 10000000 1
chr20 10000000 chr20 11000000 11
chr20 11000000 chr20 12000000 4
chr20 12000000 chr20 13000000 4
chr20 13000000 chr20 14000000 4
chr20 14000000 chr20 15000000 9
chr20 15000000 chr20 16000000 5
chr20 16000000 chr20 17000000 3
chr20 17000000 chr20 18000000 1
chr20 18000000 chr20 19000000 6
chr20 19000000 chr20 20000000 5
chr20 20000000 chr20 21000000 4
chr20 21000000 chr20 22000000 4
chr20 22000000 chr20 23000000 1
chr20 23000000 chr20 24000000 2
chr20 24000000 chr20 25000000 3
chr20 25000000 chr20 26000000 4
chr20 26000000 chr20 27000000 5
chr20 27000000 chr20 28000000 3
chr20 28000000 chr20 29000000 3
chr20 29000000 chr20 30000000 2
chr20 30000000 chr20 31000000 5
chr20 31000000 chr20 32000000 3
chr20 32000000 chr20 33000000 3
chr20 33000000 chr20 34000000 4
chr20 34000000 chr20 35000000 3
chr20 35000000 chr20 36000000 2
chr20 36000000 chr20 37000000 1
chr20 37000000 chr20 38000000 5
chr20 38000000 chr20 39000000 1
chr20 39000000 chr20 40000000 1
chr20 40000000 chr20 41000000 5
chr20 41000000 chr20 42000000 1
chr20 42000000 chr20 43000000 3
chr20 43000000 chr20 44000000 3
chr20 44000000 chr20 45000000 3
chr20 45000000 chr20 46000000 4
chr20 46000000 chr20 47000000 2
chr20 47000000 chr20 48000000 4
chr20 48000000 chr20 49000000 8
chr20 49000000 chr20 50000000 4
chr20 50000000 chr20 51000000 1
chr20 51000000 chr20 52000000 3
chr20 52000000 chr20 53000000 4
chr20 53000000 chr20 54000000 1
chr20 54000000 chr20 55000000 1
chr20 55000000 chr20 56000000 1
chr20 56000000 chr20 57000000 1
chr20 57000000 chr20 58000000 2
chr20 58000000 chr20 59000000 4
chr20 59000000 chr20 60000000 1
chr20 60000000 chr20 61000000 2
chr20 61000000 chr20 62000000 3
chr20 0 chr20 2000000 3
chr20 0 chr20 3000000 1
chr20 1000000 chr20 3000000 2
chr20 1000000 chr20 4000000 2
chr20 2000000 chr20 4000000 2
chr20 2000000 chr20 5000000 1
chr20 3000000 chr20 5000000 2
chr20 3000000 chr20 6000000 1
chr20 4000000 chr20 6000000 1
chr20 4000000 chr20 7000000 2
chr20 5000000 chr20 7000000 1
chr20 5000000 chr20 8000000 2
chr20 6000000 chr20 8000000 3
chr20 6000000 chr20 9000000 1
chr20 7000000 chr20 9000000 2
chr20 7000000 chr20 10000000 1
