chr1 start1 chr2 start2 IF
chr20 1000000 chr20 1000000 179
chr20 2000000 chr20 2000000 174
chr20 3000000 chr20 3000000 194
chr20 4000000 chr20 4000000 201
chr20 5000000 chr20 5000000 171
chr20 6000000 chr20 6000000 142
chr20 7000000 chr20 7000000 198
chr20 8000000 chr20 8000000 175
chr20 9000000 chr20 9000000 208
chr20 10000000 chr20 10000000 188
chr20 11000000 chr20 11000000 189
chr20 12000000 chr20 12000000 191
chr20 13000000 chr20 13000000 217
chr20 14000000 chr20 14000000 179
chr20 15000000 chr20 15000000 180
chr20 16000000 chr20 16000000 201
chr20 17000000 chr20 17000000 215
chr20 18000000 chr20 18000000 205
chr20 19000000 chr20 19000000 214
chr20 20000000 chr20 20000000 218
chr20 21000000 chr20 21000000 204
chr20 22000000 chr20 22000000 197
chr20 23000000 chr20 23000000 190
chr20 24000000 chr20 24000000 200
chr20 25000000 chr20 25000000 108
chr20 26000000 chr20 26000000 25
chr20 27000000 chr20 27000000 184
chr20 28000000 chr20 28000000 176
chr20 29000000 chr20 29000000 54
chr20 30000000 chr20 30000000 164
chr20 31000000 chr20 31000000 177
chr20 32000000 chr20 32000000 187
chr20 33000000 chr20 33000000 156
chr20 34000000 chr20 34000000 178
chr20 35000000 chr20 35000000 146
chr20 36000000 chr20 36000000 144
chr20 37000000 chr20 37000000 150
chr20 38000000 chr20 38000000 199
chr20 39000000 chr20 39000000 208
chr20 40000000 chr20 40000000 204
chr20 41000000 chr20 41000000 181
chr20 42000000 chr20 42000000 196
chr20 43000000 chr20 43000000 218
chr20 44000000 chr20 44000000 200
chr20 45000000 chr20 45000000 263
chr20 46000000 chr20 46000000 162
chr20 47000000 chr20 47000000 215
chr20 48000000 chr20 48000000 191
chr20 49000000 chr20 49000000 191
chr20 50000000 chr20 50000000 223
chr20 51000000 chr20 51000000 199
chr20 52000000 chr20 52000000 167
chr20 53000000 chr20 53000000 184
chr20 54000000 chr20 54000000 200
chr20 55000000 chr20 55000000 214
chr20 56000000 chr20 56000000 218
chr20 57000000 chr20 57000000 232
chr20 58000000 chr20 58000000 209
chr20 59000000 chr20 59000000 173
chr20 60000000 chr20 60000000 224
chr20 61000000 chr20 61000000 172
chr20 62000000 chr20 62000000 148
chr20 0 chr20 1000000 1
chr20 1000000 chr20 2000000 1
chr20 2000000 chr20 3000000 4
chr20 3000000 chr20 4000000 4
chr20 4000000 chr20 5000000 5
chr20 5000000 chr20 6000000 2
chr20 6000000 chr20 7000000 3
chr20 7000000 chr20 8000000 1
