chr1 start1 end1 chr2 start2 end2 bulk.IF1 bulk.IF2 D M adj.bulk.IF1 bulk.adj.IF2 adj.M mc A
1 chr20 1000000 2000000 chr20 1000000 2000000 1823 2111 0 0.211612017308022 1932.38469617114 1991.50459410344 0.0434764755134137 0.168135541794609 1961.94464513729
2 chr20 2000000 3000000 chr20 2000000 3000000 1931 2187 0 0.179605056097443 2046.86497438643 2063.2025330669 0.0114695143028333 0.168135541794609 2055.03375372667
3 chr20 3000000 4000000 chr20 3000000 4000000 1750 2114 0 0.272620454662992 1855.00450811821 1994.33477590463 0.104484912868383 0.168135541794609 1924.66964201142
4 chr20 4000000 5000000 chr20 4000000 5000000 1953 2091 0 0.0985011127027877 2070.18503105992 1972.63671542884 -0.0696344290918206 0.168135541794609 2021.41087324438
5 chr20 5000000 6000000 chr20 5000000 6000000 1799 2010 0 0.160000314814809 1906.94463434552 1896.22180679674 -0.00813522697979962 0.168135541794609 1901.58322057113
6 chr20 6000000 7000000 chr20 6000000 7000000 1808 2056 0 0.185445586778691 1916.48465753013 1939.6179277483 0.0173100449840823 0.168135541794609 1928.05129263922
7 chr20 7000000 8000000 chr20 7000000 8000000 1774 2062 0 0.217038323067044 1880.44456994383 1945.27829135068 0.0489027812724369 0.168135541794609 1912.86143064726
8 chr20 8000000 9000000 chr20 8000000 9000000 1878 2102 0 0.162565606308404 1990.68483785485 1983.01404869987 -0.00556993548620539 0.168135541794609 1986.84944327736
9 chr20 9000000 10000000 chr20 9000000 10000000 1898 2095 0 0.142470251565604 2011.88488937621 1976.41029116376 -0.0256652902290052 0.168135541794609 1994.14759026998
10 chr20 10000000 11000000 chr20 10000000 11000000 1952 2086 0 0.0957861049568793 2069.12502848385 1967.9197457602 -0.0723494368377293 0.168135541794609 2018.52238712202
11 chr20 11000000 12000000 chr20 11000000 12000000 1880 2081 0 0.146544303170335 1992.80484300699 1963.20277609155 -0.0215912386242731 0.168135541794609 1978.00380954927
12 chr20 12000000 13000000 chr20 12000000 13000000 1852 2129 0 0.201091851192058 1963.1247708771 2008.48568491057 0.0329563093974502 0.168135541794609 1985.80522789384
