chr1 start1 end1 chr2 start2 end2 bulk.IF1 bulk.IF2 D M adj.bulk.IF1 bulk.adj.IF2 adj.M mc A Z Difference.cluster
1 chr20 0 1000000 chr20 1000000 2000000 28 34 1 0.280107919192735 26.2303799465944 36.2937937589272 0.468484163199888 -0.188376244007153 31.2620868527608 2.11385177588893 0
2 chr20 1000000 2000000 chr20 2000000 3000000 29 48 1 0.726981505593584 27.1671792304014 51.2382970714267 0.915357749600736 -0.188376244007153 39.202738150914 4.12301495276351 0
3 chr20 2000000 3000000 chr20 3000000 4000000 32 19 1 -0.752072486556414 29.9775770818222 20.2818259241064 -0.563696242549263 -0.188376244007153 25.1297015029643 -2.52687644397598 0
4 chr20 3000000 4000000 chr20 4000000 5000000 26 26 1 0 24.3567813789806 27.7540775803561 0.188376244007152 -0.188376244007153 26.0554294796683 0.854474327949579 1
5 chr20 4000000 5000000 chr20 5000000 6000000 39 37 1 -0.0759488532332986 36.5351720684708 39.4961873258914 0.112427390773854 -0.188376244007153 38.0156796971811 0.513004964161051 1
6 chr20 5000000 6000000 chr20 6000000 7000000 38 26 1 -0.547487795302493 35.5983727846639 27.7540775803561 -0.359111551295342 -0.188376244007153 31.67622518251 -1.60705472989749 1
7 chr20 6000000 7000000 chr20 7000000 8000000 61 39 1 -0.645335118700638 57.1447563122236 41.6311163705342 -0.456958874693486 -0.188376244007153 49.3879363413789 -2.04698057270831 0
8 chr20 7000000 8000000 chr20 8000000 9000000 42 29 1 -0.534336427651188 39.3455699198917 30.9564711473203 -0.345960183644037 -0.188376244007153 35.151020533606 -1.54792560610354 1
9 chr20 8000000 9000000 chr20 9000000 10000000 50 34 1 -0.556393348524385 46.8399641903472 36.2937937589272 -0.368017104517233 -0.188376244007153 41.5668789746372 -1.64709448643631 1
10 chr20 9000000 10000000 chr20 10000000 11000000 44 43 1 -0.0331668639351993 41.2191684875056 45.9009744598197 0.155209380071953 -0.188376244007153 43.5600714736627 0.705354658005072 1
11 chr20 10000000 11000000 chr20 11000000 12000000 60 78 1 0.37851162325373 56.2079570284167 83.2622327410684 0.566887867260882 -0.188376244007153 69.7350948847426 2.5562791304788 0
12 chr20 11000000 12000000 chr20 12000000 13000000 56 37 1 -0.597901556428654 52.4607598931889 39.4961873258914 -0.409525312421501 -0.188376244007153 45.9784736095402 -1.83371720345791 1
13 chr20 12000000 13000000 chr20 13000000 14000000 31 34 1 0.133266530863464 29.0407777980153 36.2937937589272 0.321642774870616 -0.188376244007153 32.6672857784713 1.45364647566411 1
14 chr20 13000000 14000000 chr20 14000000 15000000 39 33 1 -0.241008099503795 36.5351720684708 35.2263292366058 -0.0526318554966432 -0.188376244007153 35.8807506525384 -0.229108621652635 1
15 chr20 14000000 15000000 chr20 15000000 16000000 58 50 1 -0.214124805352848 54.3343584608028 53.3732261160695 -0.0257485613456954 -0.188376244007153 53.8537922884361 -0.10824015610694 1
16 chr20 15000000 16000000 chr20 16000000 17000000 43 30 1 -0.519374159093579 40.2823692036986 32.0239356696417 -0.330997915086427 -0.188376244007153 36.1531524366702 -1.4806545926821 1
17 chr20 16000000 17000000 chr20 17000000 18000000 30 35 1 0.222392421336448 28.1039785142083 37.3612582812486 0.4107686653436 -0.188376244007153 32.7326183977285 1.85436037483794 1
18 chr20 17000000 18000000 chr20 18000000 19000000 44 24 1 -0.874469117916141 41.2191684875056 25.6191485357133 -0.686092873908989 -0.188376244007153 33.4191585116095 -3.07717704840882 0
19 chr20 18000000 19000000 chr20 19000000 20000000 51 41 1 -0.314873337353412 47.7767634741542 43.766045415177 -0.126497093346259 -0.188376244007153 45.7714044446656 -0.561209959603295 1
20 chr20 19000000 20000000 chr20 20000000 21000000 25 50 1 1 23.4199820951736 53.3732261160695 1.18837624400715 -0.188376244007153 38.3966041056215 5.3505180369916 0
21 chr20 20000000 21000000 chr20 21000000 22000000 44 45 1 0.0324214776923774 41.2191684875056 48.0359035044625 0.22079772169953 -0.188376244007153 44.627535995984 1.00024270876624 1
22 chr20 21000000 22000000 chr20 22000000 23000000 45 40 1 -0.169925001442312 42.1559677713125 42.6985808928556 0.0184512425648401 -0.188376244007153 42.4272743320841 0.0904840942059141 1
23 chr20 22000000 23000000 chr20 23000000 24000000 45 44 1 -0.0324214776923775 42.1559677713125 46.9684389821411 0.155954766314775 -0.188376244007153 44.5622033767268 0.708705947132918 1
24 chr20 23000000 24000000 chr20 24000000 25000000 37 44 1 0.249978253008348 34.661573500857 46.9684389821411 0.438354497015499 -0.188376244007153 40.815006241499 1.97838747978507 0
25 chr20 24000000 25000000 chr20 25000000 26000000 35 35 1 0 32.7879749332431 37.3612582812486 0.188376244007152 -0.188376244007153 35.0746166072458 0.854474327949579 1
26 chr20 25000000 26000000 chr20 26000000 27000000 35 28 1 -0.321928094887362 32.7879749332431 29.8890066249989 -0.133551850880211 -0.188376244007153 31.338490779121 -0.592928457832633 1
27 chr20 26000000 27000000 chr20 27000000 28000000 34 28 1 -0.280107919192735 31.8511756494361 29.8890066249989 -0.0917316751855831 -0.188376244007153 30.8700911372175 -0.404903119989771 1
28 chr20 27000000 28000000 chr20 28000000 29000000 40 34 1 -0.234465253637023 37.4719713522778 36.2937937589272 -0.0460890096298715 -0.188376244007153 36.8828825556025 -0.199691700654105 1
29 chr20 28000000 29000000 chr20 29000000 30000000 36 33 1 -0.125530882083859 33.72477421705 35.2263292366058 0.0628453619232931 -0.188376244007153 34.4755517268279 0.290081995265948 1
30 chr20 29000000 30000000 chr20 30000000 31000000 25 26 1 0.0565835283663675 23.4199820951736 27.7540775803561 0.244959772373519 -0.188376244007153 25.5870298377649 1.10887634469658 1
31 chr20 30000000 31000000 chr20 31000000 32000000 24 27 1 0.169925001442312 22.4831828113667 28.8215421026775 0.358301245449464 -0.188376244007153 25.6523624570221 1.61846456169324 1
32 chr20 31000000 32000000 chr20 32000000 33000000 35 22 1 -0.669851398307669 32.7879749332431 23.4842194910706 -0.481475154300517 -0.188376244007153 28.1360972121568 -2.15720683740462 0
33 chr20 32000000 33000000 chr20 33000000 34000000 46 33 1 -0.47916783669856 43.0927670551195 35.2263292366058 -0.290791592691408 -0.188376244007153 39.1595481458627 -1.29988520981426 1
34 chr20 33000000 34000000 chr20 34000000 35000000 18 37 1 1.03952836418664 16.862387108525 39.4961873258914 1.22790460819379 -0.188376244007153 28.1792872172082 5.52823929012166 0
35 chr20 34000000 35000000 chr20 35000000 36000000 40 24 1 -0.736965594166206 37.4719713522778 25.6191485357133 -0.548589350159055 -0.188376244007153 31.5455599439956 -2.45895519548181 0
36 chr20 35000000 36000000 chr20 36000000 37000000 47 30 1 -0.647698256069119 44.0295663389264 32.0239356696417 -0.459322012061967 -0.188376244007153 38.0267510042841 -2.05760534160748 0
37 chr20 36000000 37000000 chr20 37000000 38000000 32 28 1 -0.192645077942396 29.9775770818222 29.8890066249989 -0.00426883393524398 -0.188376244007153 29.9332918534106 -0.0116663628112426 1
38 chr20 37000000 38000000 chr20 38000000 39000000 27 21 1 -0.362570079384708 25.2935806627875 22.4167549687492 -0.174193835377556 -0.188376244007153 23.8551678157683 -0.775656596554904 1
39 chr20 38000000 39000000 chr20 39000000 40000000 44 35 1 -0.330148601692331 41.2191684875056 37.3612582812486 -0.141772357685179 -0.188376244007153 39.2902133843771 -0.629888215738248 1
40 chr20 39000000 40000000 chr20 40000000 41000000 29 25 1 -0.214124805352848 27.1671792304014 26.6866130580347 -0.0257485613456954 -0.188376244007153 26.9268961442181 -0.10824015610694 1
41 chr20 40000000 41000000 chr20 41000000 42000000 44 46 1 0.0641303374197156 41.2191684875056 49.1033680267839 0.252506581426868 -0.188376244007153 45.1612682571447 1.14280712806423 1
42 chr20 41000000 42000000 chr20 42000000 43000000 34 15 1 -1.18057224564182 31.8511756494361 16.0119678348208 -0.992196001634668 -0.188376244007153 23.9315717421285 -4.45343009013795 0
43 chr20 42000000 43000000 chr20 43000000 44000000 22 22 1 0 20.6095842437528 23.4842194910706 0.188376244007152 -0.188376244007153 22.0469018674117 0.854474327949578 1
